Group	Bird ID	Grid Section	Number of Pecks
Wall	411	77	1
Wall	411	78	2
Wall	411	79	0
Wall	411	80	0
Wall	411	81	0
Wall	411	82	0
Wall	411	83	0
Wall	411	84	0
Wall	411	85	0
Wall	411	86	0
Wall	411	87	0
Wall	411	88	0
Wall	411	89	0
Wall	411	90	0
Wall	411	91	0
Wall	411	92	0
Wall	411	93	0
Wall	411	94	0
Wall	411	95	0
Wall	411	96	0
Wall	411	97	0
Wall	411	98	0
Wall	411	99	0
Wall	411	100	0
Wall	97	1	0
Wall	97	2	0
Wall	97	3	0
Wall	97	4	0
Wall	97	5	0
Wall	97	6	0
Wall	97	7	0
Wall	97	8	0
Wall	97	9	0
Wall	97	10	0
Wall	97	11	0
Wall	97	12	1
Wall	97	13	2
Wall	97	14	0
Wall	97	15	0
Wall	97	16	0
Wall	97	17	0
Wall	97	18	0
Wall	97	19	5
Wall	97	20	0
Wall	97	21	0
Wall	97	22	0
Wall	97	23	13
Wall	97	24	0
Wall	97	25	8
Wall	97	26	3
Wall	97	27	3
Wall	97	28	2
Wall	97	29	2
Wall	97	30	2
Wall	97	31	0
Wall	97	32	1
Wall	97	33	2
Wall	97	34	0
Wall	97	35	1
Wall	97	36	2
Wall	97	37	1
Wall	97	38	3
Wall	97	39	0
Wall	97	40	0
Wall	97	41	0
Wall	97	42	1
Wall	97	43	0
Wall	97	44	0
Wall	97	45	0
Wall	97	46	0
Wall	97	47	0
Wall	97	48	0
Wall	97	49	0
Wall	97	50	0
Wall	97	51	0
Wall	97	52	0
Wall	97	53	0
Wall	97	54	0
Wall	97	55	0
Wall	97	56	0
Wall	97	57	0
Wall	97	58	0
Wall	97	59	0
Wall	97	60	0
Wall	97	61	0
Wall	97	62	0
Wall	97	63	3
Wall	97	64	3
Wall	97	65	3
Wall	97	66	0
Wall	97	67	0
Wall	97	68	0
Wall	97	69	1
Wall	97	70	0
Wall	97	71	0
Wall	97	72	1
Wall	97	73	2
Wall	97	74	1
Wall	97	75	0
Wall	97	76	1
Wall	97	77	0
Wall	97	78	4
Wall	97	79	8
Wall	97	80	1
Wall	97	81	0
Wall	97	82	1
Wall	97	83	1
Wall	97	84	0
Wall	97	85	0
Wall	97	86	0
Wall	97	87	2
Wall	97	88	3
Wall	97	89	1
Wall	97	90	0
Wall	97	91	0
Wall	97	92	0
Wall	97	93	0
Wall	97	94	0
Wall	97	95	0
Wall	97	96	0
Wall	97	97	0
Wall	97	98	0
Wall	97	99	0
Wall	97	100	0
Landmark	380	1	0
Landmark	380	2	0
Landmark	380	3	0
Landmark	380	4	0
Landmark	380	5	0
Landmark	380	6	1
Landmark	380	7	0
Landmark	380	8	0
Landmark	380	9	0
Landmark	380	10	0
Landmark	380	11	0
Landmark	380	12	0
Landmark	380	13	0
Landmark	380	14	1
Landmark	380	15	0
Landmark	380	16	4
Landmark	380	17	2
Landmark	380	18	0
Landmark	380	19	0
Landmark	380	20	0
Landmark	380	21	0
Landmark	380	22	0
Landmark	380	23	1
Landmark	380	24	0
