WORD	AoA	AoA	IMG	FAM	LEN_L	LEN_S	LEN_P	MLBF	N
	(Yrs)	(100-700)							
coerce	11.5	700	145	389	6	2	4	2.58	0
coin	4.6	241	626	588	4	1	3	2.76	5
cola	5.3	307	608	542	4	2	4	2.28	5
collect	5.8	322	279	570	7	2	6	2.96	0
colonel	8.9	544	433	398	7	2	4	2.67	0
colour	3.6	183	552	650	6	2	5	2.79	0
combat	7.7	460	464	463	6	2	6	2.61	0
comet	8.0	492	525	426	5	2	5	3.02	3
comma	7.1	429	555	516	5	2	4	2.45	1
command	7.1	413	300	488	7	2	6	2.74	1
comment	7.7	480	245	557	7	2	6	2.85	1
compare	7.1	401	166	594	7	2	6	2.88	1
compass	7.2	422	600	445	7	2	6	2.74	0
compete	6.5	380	299	511	7	2	6	2.83	2
complex	9.1	553	263	543	7	2	8	2.72	0
conceal	8.4	477	274	460	7	2	6	2.93	0
concept	9.3	570	197	536	7	2	7	2.59	2
concoct	9.4	573	266	421	7	2	7	2.51	0
confer	9.7	614	226	425	6	2	6	2.62	1
confess	7.1	433	291	472	7	2	6	2.68	1
confide	9.2	567	238	511	7	2	6	2.61	1
conform	9.6	581	172	471	7	2	6	2.52	1
confuse	6.6	380	262	580	7	2	7	2.64	0
conquer	7.2	420	364	405	7	2	6	2.44	0
consent	8.5	527	226	501	7	2	7	3.00	2
contain	6.4	378	250	560	7	2	6	2.98	0
contend	9.5	570	201	445	7	2	7	3.03	1
contest	6.9	426	278	497	7	2	7	3.10	2
context	9.4	570	213	506	7	2	8	2.64	2
convene	10.9	661	205	402	7	2	6	2.68	1
convent	8.5	532	465	434	7	2	7	2.73	4
convert	8.9	546	245	508	7	2	6	2.67	2
convict	8.7	526	384	427	7	2	7	2.70	0
convoy	9.2	564	396	422	6	2	5	2.01	1
cook	4.5	237	529	614	4	1	3	3.34	11
copy	5.3	295	388	575	4	2	4	2.44	3
cord	6.5	384	455	443	4	1	3	3.28	10
cork	6.5	386	619	458	4	1	3	3.33	8
corn	5.3	299	580	469	4	1	3	3.20	10
corpse	8.3	498	534	464	6	1	4	2.47	0
corrupt	8.9	533	220	482	7	2	6	2.38	0
cortex	12.2	700	293	460	6	2	6	2.69	1
couch	5.5	310	511	525	5	1	3	3.33	6
cough	4.7	252	497	584	5	1	3	2.98	5
count	4.2	220	390	558	5	1	4	3.45	3
counter	5.3	305	465	479	7	2	6	3.21	1
