Appendix B																				
Word Ratings and Associated Statistics (All Participants)																				

Word	Type	Letters	Syllables	K&F 	        ANEW		    Personal Use		      Familiarity		   Offensiveness		     Tabooness		        Valence		        Arousal		    Imageability	
				Freq.	Valence	Arousal	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD
ship	unrel neu	4	1	83	5.55	4.38	3.92	2.45	4.74	2.38	1.01	0.11	1.00	0.00	5.09	0.52	1.39	0.97	8.01	1.39
spray	unrel neu	5	1	16	5.45	4.14	4.54	2.22	5.00	2.37	1.01	0.12	1.03	0.23	4.92	0.32	1.53	1.20	5.65	2.80
statue	unrel neu	6	2	17	5.17	3.46	3.77	2.15	4.49	2.16	1.04	0.20	1.04	0.25	5.01	0.82	1.58	1.23	7.34	2.36
stiff	unrel neu	5	1	21	4.68	4.02	4.04	2.39	4.42	2.42	1.31	0.86	1.40	1.16	4.42	0.94	2.13	1.63	4.06	2.53
subdued	unrel neu	7	2	8	4.67	2.90	3.22	2.01	4.01	2.22	1.22	0.70	1.18	0.62	4.64	1.00	1.81	1.42	2.39	1.98
taxi	unrel neu	4	2	16	5.00	3.41	4.21	2.38	5.19	2.38	1.01	0.11	1.03	0.16	5.05	0.43	1.49	1.18	8.23	1.23
teacher	unrel neu	7	2	80	5.68	4.05	6.12	2.10	6.86	2.06	1.00	0.00	1.01	0.12	5.68	1.10	1.86	1.68	7.07	2.28
theory	unrel neu	6	2	129	5.30	4.62	5.24	2.38	6.03	2.27	1.01	0.12	1.03	0.16	5.29	0.84	1.92	1.68	2.09	2.07
tool	unrel neu	4	1	40	5.19	4.33	4.35	2.13	5.25	2.10	1.32	1.14	1.51	1.53	4.66	1.17	1.81	1.70	6.22	2.67
tower	unrel neu	5	2	13	5.46	3.95	3.79	2.35	4.55	2.50	1.03	0.16	1.01	0.12	4.99	0.20	1.45	1.01	7.29	2.00
truck	unrel neu	5	1	57	5.47	4.84	5.13	2.26	6.08	2.18	1.01	0.12	1.01	0.12	5.04	0.47	1.71	1.40	8.09	1.63
trunk	unrel neu	5	1	8	5.09	4.18	4.64	2.41	5.03	2.52	1.01	0.11	1.04	0.25	4.96	0.64	1.51	1.25	6.74	2.59
vest	unrel neu	4	1	4	5.25	3.95	3.45	2.27	4.35	2.36	1.03	0.16	1.03	0.16	5.06	0.34	1.53	1.20	7.69	1.87
violin	unrel neu	6	3	11	5.43	3.49	3.38	2.15	4.33	2.38	1.01	0.11	1.06	0.47	5.33	0.78	2.17	1.65	8.40	1.28
wagon	unrel neu	5	2	55	5.37	3.98	2.88	2.01	3.73	2.36	1.01	0.11	1.01	0.11	5.06	0.47	1.33	0.89	7.60	1.89
windmill	unrel neu	8	2	1	5.60	3.74	2.88	2.38	3.42	2.53	1.03	0.16	1.13	0.84	5.03	0.28	1.39	0.85	7.92	1.60
writer	unrel neu	6	2	73	5.52	4.33	4.99	2.35	5.75	2.29	1.03	0.16	1.10	0.91	5.25	0.78	1.64	1.41	5.08	2.88
yellow	unrel neu	6	2	55	5.61	4.43	5.26	2.18	5.47	2.38	1.13	0.74	1.08	0.48	5.13	0.64	1.77	1.53	8.39	1.51
antique	rel neu	7	2	12			3.51	2.31	4.31	2.27	1.01	0.11	1.05	0.28	5.19	0.73	1.70	1.33	5.70	2.55
appliance	rel neu	9	3	5	5.10	4.05	4.03	2.22	5.16	2.23	1.00	0.00	1.00	0.00	5.07	0.48	1.41	1.21	6.72	2.22
armchair	rel neu	8	2	4			3.31	2.26	4.22	2.28	1.01	0.11	1.01	0.11	5.16	0.65	1.68	1.57	7.90	1.71
backyard	rel neu	8	2	2			5.05	2.42	5.39	2.38	1.05	0.28	1.04	0.20	5.23	0.99	1.97	1.66	7.71	1.61
bake	rel neu	4	1	12	6.17	5.10	5.26	2.29	5.83	2.18	1.01	0.12	1.01	0.12	5.72	1.24	2.78	2.18	5.47	2.72
balcony	rel neu	7	3	5			4.43	2.44	4.60	2.41	1.01	0.11	1.03	0.16	5.18	0.48	1.68	1.34	7.78	1.60
banister	rel neu	8	3	5			2.29	1.80	2.90	2.11	1.04	0.20	1.05	0.22	4.91	0.78	1.44	1.27	6.38	2.86
basement	rel neu	8	2	31			3.46	2.44	4.16	2.41	1.03	0.16	1.03	0.16	4.91	0.59	1.31	0.72	7.21	2.02
basin	rel neu	5	2	7			2.25	1.89	2.83	1.86	1.01	0.12	1.07	0.47	4.99	0.12	1.21	0.60	5.30	3.13
bathroom	rel neu	8	2	18	5.55	3.88	6.91	1.93	7.00	2.06	1.01	0.11	1.19	0.65	4.96	0.50	1.73	1.38	7.55	1.90
bedspread	rel neu	9	2	2			3.43	2.25	4.03	2.27	1.04	0.26	1.12	0.63	4.92	0.56	1.71	1.30	7.07	2.36
bench	rel neu	5	1	35	4.61	3.59	4.55	2.25	5.00	2.39	1.05	0.23	1.08	0.48	5.05	0.56	1.58	1.29	7.92	1.85
blinds	rel neu	6	1	3			4.49	2.56	4.87	2.38	1.01	0.11	1.03	0.16	4.95	0.28	1.45	1.13	7.40	2.22
book	rel neu	4	1	193	5.72	4.17	6.52	2.29	6.96	2.12	1.00	0.00	1.01	0.11	5.29	1.09	1.80	1.52	8.34	1.30
bowl	rel neu	4	1	23	5.33	3.47	5.97	2.27	6.26	2.22	1.01	0.12	1.01	0.12	5.03	0.28	1.41	1.09	8.20	1.32
broom	rel neu	5	1	2			4.29	2.25	4.81	2.33	1.03	0.16	1.03	0.16	4.96	0.75	1.45	1.42	7.97	1.68
cabinet	rel neu	7	3	17	5.05	3.43	4.66	2.11	5.08	2.28	1.03	0.16	1.01	0.11	5.10	0.87	1.45	1.07	7.62	1.91
carpet	rel neu	6	2	13			5.00	2.32	5.19	2.44	1.01	0.11	1.01	0.11	5.06	0.34	1.41	1.06	7.80	1.76
ceiling	rel neu	7	2	31			4.59	2.32	4.99	2.30	1.01	0.12	1.01	0.12	5.12	0.65	1.47	1.16	7.51	2.08
cellar	rel neu	6	2	26	4.32	4.39	2.52	1.88	3.68	2.16	1.04	0.20	1.03	0.16	4.90	0.79	1.60	1.23	6.22	2.75
chair	rel neu	5	1	66	5.08	3.15	6.25	2.26	6.26	2.29	1.00	0.00	1.00	0.00	5.16	0.73	1.48	1.23	8.29	1.33
chimney	rel neu	7	2	7			3.26	2.41	3.97	2.33	1.01	0.11	1.01	0.11	5.08	0.32	1.44	1.02	7.99	1.70
clock	rel neu	5	1	20	5.14	4.02	5.99	2.33	6.21	2.20	1.03	0.16	1.01	0.11	5.04	0.47	1.32	0.85	8.08	1.41
closet	rel neu	6	2	16			5.86	2.32	5.74	2.36	1.01	0.11	1.14	0.74	4.94	0.50	1.52	1.28	7.19	2.42
cloth	rel neu	5	1	43			4.13	2.36	4.68	2.26	1.01	0.11	1.08	0.48	5.08	0.51	1.34	0.77	7.14	2.18
cook	rel neu	4	1	47	6.16	4.44	6.16	2.17	6.65	2.06	1.06	0.47	1.01	0.11	5.65	1.22	2.61	2.11	6.56	2.35
couch	rel neu	5	1	12			5.94	2.31	6.27	2.34	1.00	0.00	1.01	0.11	5.10	0.70	1.69	1.49	8.01	1.82
cupboard	rel neu	8	2	2			4.34	2.54	4.94	2.59	1.04	0.25	1.03	0.16	5.01	0.11	1.31	0.91	7.47	2.06
curtains	rel neu	8	2	8	4.83	3.67	4.56	2.26	4.91	2.32	1.01	0.11	1.01	0.11	5.00	0.65	1.29	0.69	8.08	1.39
den	rel neu	3	1	2			3.39	2.11	4.25	2.31	1.01	0.11	1.03	0.16	5.04	0.87	1.47	1.13	5.26	2.98
desk	rel neu	4	1	65			5.71	2.29	6.03	2.20	1.01	0.12	1.00	0.00	5.13	0.62	1.32	0.91	8.14	1.36
dish	rel neu	4	1	16			5.75	2.20	6.04	2.22	1.01	0.11	1.01	0.11	4.99	0.68	1.36	1.15	7.65	2.06
dresser	rel neu	7	2	1			4.68	2.68	4.77	2.37	1.01	0.12	1.01	0.12	4.97	0.28	1.31	0.82	8.01	1.66
dryer	rel neu	5	2	4			5.55	2.29	5.75	2.45	1.01	0.12	1.01	0.12	5.05	0.43	1.38	1.02	7.79	1.78
fireplace	rel neu	9	3	6			4.14	2.39	4.64	2.37	1.01	0.12	1.04	0.26	5.38	0.83	2.16	1.67	8.32	1.13
freezer	rel neu	7	2	1			5.62	2.37	5.71	2.46	1.01	0.11	1.01	0.11	5.00	0.67	1.39	0.86	7.69	1.89
furnace	rel neu	7	2	11			2.47	1.85	3.29	2.23	1.01	0.11	1.03	0.16	5.04	0.44	1.46	1.17	6.17	2.83
furniture	rel neu	9	3	39			5.28	2.24	5.82	2.27	1.01	0.12	1.00	0.00	5.05	0.23	1.45	1.00	7.69	1.73
glass	rel neu	5	1	99	4.75	4.27	5.71	2.18	6.04	2.22	1.00	0.00	1.00	0.00	5.05	0.74	1.32	0.83	7.38	2.20
hammer	rel neu	6	2	9	4.88	4.58	3.97	2.18	4.73	2.56	1.03	0.16	1.05	0.28	4.95	0.32	1.70	1.45	8.38	1.28
iron	rel neu	4	2	43	4.90	3.76	4.20	2.36	4.74	2.35	1.01	0.12	1.03	0.16	5.03	0.23	1.28	0.78	7.49	2.13
jar	rel neu	3	1	16			4.16	2.35	4.73	2.51	1.01	0.11	1.01	0.11	5.01	0.57	1.29	0.78	8.04	1.72
kettle	rel neu	6	2	3	5.22	3.22	3.25	2.43	3.83	2.46	1.01	0.12	1.01	0.12	5.04	0.38	1.38	0.94	6.93	2.40
ladder	rel neu	6	2	19			3.83	2.29	4.45	2.30	1.01	0.11	1.01	0.11	5.03	0.23	1.48	1.01	8.13	1.67
lamp	rel neu	4	1	18	5.41	3.80	5.07	2.25	5.42	2.27	1.01	0.12	1.00	0.00	5.13	0.55	1.32	0.94	8.12	1.47
lawn	rel neu	4	1	15	5.24	4.00	4.10	2.28	5.00	2.15	1.01	0.11	1.01	0.11	5.13	0.91	1.48	1.13	7.45	1.97
mantel	rel neu	6	2	3	4.93	3.27	2.76	2.37	3.50	2.35	1.01	0.12	1.16	0.95	5.04	0.53	1.20	0.52	6.20	2.84
microwave	rel neu	9	3	2			5.95	2.16	6.34	2.15	1.04	0.20	1.01	0.11	5.10	0.90	1.75	1.51	8.19	1.59
mirror	rel neu	6	2	27			5.81	2.36	6.14	2.25	1.00	0.00	1.01	0.11	5.13	0.73	1.57	1.14	7.88	1.81
mixer	rel neu	5	2	2			3.88	2.32	4.61	2.21	1.01	0.11	1.06	0.41	5.14	0.56	1.45	1.02	5.40	2.88
mop	rel neu	3	1	3			3.90	2.24	4.60	2.42	1.01	0.11	1.04	0.20	4.96	0.57	1.42	0.98	7.96	1.68
paint	rel neu	5	1	37	5.62	4.10	4.51	2.34	5.34	2.39	1.03	0.23	1.01	0.11	5.34	0.93	1.96	1.74	7.27	2.25
pan	rel neu	3	1	16			4.97	2.52	5.04	2.37	1.01	0.11	1.01	0.11	5.00	0.16	1.32	0.94	7.70	1.97
pantry	rel neu	6	2	2			3.58	2.05	4.29	2.19	1.01	0.11	1.08	0.42	5.23	0.74	1.65	1.35	6.81	2.36
patio	rel neu	5	3	2			4.12	2.25	4.75	2.19	1.01	0.12	1.01	0.12	5.08	0.32	1.56	1.38	7.48	2.18
photo	rel neu	5	2	5			5.51	2.50	6.29	2.17	1.01	0.11	1.03	0.16	5.32	0.80	1.86	1.63	7.40	2.10
picture	rel neu	7	2	162			6.34	2.10	6.82	2.10	1.05	0.46	1.00	0.00	5.39	0.93	1.97	1.83	7.47	1.86
plant	rel neu	5	1	125	5.98	3.62	4.92	2.07	5.58	2.23	1.00	0.00	1.00	0.00	5.13	0.91	1.57	1.40	8.01	1.57
plaster	rel neu	7	2	23			3.30	2.36	3.66	2.19	1.04	0.20	1.25	0.92	4.87	0.89	1.42	0.97	5.00	2.91
polish	rel neu	6	2	19			3.64	2.45	4.36	2.41	1.04	0.20	1.04	0.20	5.25	0.80	1.74	1.40	4.86	2.92
poster	rel neu	6	2	4	5.34	3.93	4.53	2.14	4.92	2.30	1.01	0.11	1.09	0.69	5.05	0.22	1.43	0.99	7.32	2.15
pot	rel neu	3	1	28			5.29	2.28	5.69	2.32	1.13	0.44	2.21	1.87	4.81	1.06	2.60	2.36	7.77	1.86
radiator	rel neu	8	4	4	4.67	4.02	2.65	1.95	3.60	2.12	1.03	0.16	1.01	0.11	4.94	0.83	1.31	0.92	6.03	2.88
rag	rel neu	3	1	10			4.04	2.38	4.71	2.33	1.28	0.91	1.40	1.19	4.72	0.90	1.51	1.30	6.85	2.47
rake	rel neu	4	1	11			3.01	2.08	3.69	2.26	1.05	0.27	1.08	0.35	5.04	0.47	1.51	1.17	7.52	2.33
range	rel neu	5	1	160			4.38	2.49	4.56	2.46	1.01	0.11	1.01	0.11	5.03	0.16	1.36	1.08	2.61	2.32
refrigerator	rel neu	12	5	 23 			6.13	2.23	6.30	2.28	1.00	0.00	1.03	0.23	5.14	0.51	1.71	1.49	8.35	1.30
repair	rel neu	6	2	20			4.38	2.15	5.05	2.27	1.03	0.16	1.05	0.28	5.84	1.25	1.69	1.31	4.03	2.62
rinse	rel neu	5	1	6			5.42	2.14	5.69	2.16	1.01	0.11	1.01	0.11	5.18	0.62	1.49	1.07	5.03	2.81
roof	rel neu	4	1	59			4.62	2.30	5.01	2.50	1.00	0.00	1.00	0.00	4.97	0.36	1.40	1.25	7.64	1.93
rug	rel neu	3	1	13			4.67	2.29	4.83	2.35	1.03	0.16	1.04	0.20	5.04	0.34	1.51	1.24	8.00	1.62
scissors	rel neu	8	2	1	5.05	4.47	4.78	2.28	5.43	2.44	1.01	0.11	1.03	0.23	5.09	0.59	1.64	1.38	8.17	1.48
screen	rel neu	6	1	48			4.47	2.26	5.06	2.36	1.01	0.11	1.01	0.11	5.04	0.70	1.34	0.90	6.95	2.36
scrub	rel neu	5	1	9			4.22	2.16	4.58	2.11	1.25	1.03	1.23	1.04	4.66	0.95	1.73	1.36	5.13	2.86
seat	rel neu	4	1	54	4.95	2.95	5.73	2.19	5.82	2.38	1.01	0.11	1.01	0.11	5.08	0.60	1.49	1.32	7.45	2.16
shine	rel neu	5	1	5			4.58	2.47	5.12	2.37	1.01	0.11	1.03	0.16	6.00	1.08	2.23	1.97	4.87	2.73
shovel	rel neu	6	2	5			3.54	2.26	4.18	2.30	1.01	0.12	1.01	0.12	4.95	0.32	1.22	0.70	8.00	1.63
shower	rel neu	6	2	15			7.01	2.15	7.08	2.05	1.01	0.11	1.00	0.00	5.69	1.13	2.01	1.82	7.73	1.83
sink	rel neu	4	1	23			5.37	2.31	5.65	2.36	1.00	0.00	1.01	0.12	5.01	0.86	1.41	1.08	8.00	1.65
soap	rel neu	4	1	22			5.84	2.12	5.89	2.18	1.01	0.12	1.01	0.12	5.32	0.87	1.44	1.18	8.03	1.56
sofa	rel neu	4	2	6			4.63	2.55	5.58	2.18	1.01	0.11	1.01	0.11	5.22	0.78	1.86	1.79	8.10	1.51
sponge	rel neu	6	1	7			4.47	2.40	4.79	2.42	1.00	0.00	1.00	0.00	5.04	0.34	1.26	0.62	7.87	1.53
stairs	rel neu	6	1	47			5.91	2.16	5.94	2.35	1.01	0.11	1.00	0.00	4.99	0.55	1.43	1.24	8.21	1.29
steps	rel neu	5	1	119			5.49	2.39	5.88	2.44	1.01	0.12	1.01	0.12	5.07	0.55	1.31	0.90	7.22	2.33
stereo	rel neu	6	3	12			4.88	2.43	5.37	2.21	1.01	0.12	1.03	0.16	5.29	0.63	1.85	1.50	7.33	2.21
stove	rel neu	5	1	15	4.98	4.51	5.10	2.40	5.19	2.48	1.01	0.11	1.03	0.16	5.05	0.36	1.52	1.21	7.99	1.55
table	rel neu	5	2	198	5.22	2.92	6.01	2.24	6.44	2.18	1.01	0.11	1.01	0.11	4.99	0.66	1.41	1.05	8.13	1.57
terrace	rel neu	7	2	9			3.05	2.28	3.66	2.37	1.01	0.11	1.01	0.11	5.12	0.58	1.65	1.34	5.35	2.91
towel	rel neu	5	2	6			6.00	2.02	5.92	2.26	1.01	0.11	1.03	0.16	5.17	0.73	1.35	0.94	8.06	1.45
vase	rel neu	4	1	4			3.61	2.20	4.18	2.11	1.01	0.12	1.01	0.12	5.09	0.50	1.38	0.95	7.97	1.49
wash	rel neu	4	1	37			6.30	2.17	6.34	2.15	1.00	0.00	1.00	0.00	5.34	0.93	1.62	1.36	5.70	2.64
window	rel neu	6	2	119	5.91	3.97	5.71	2.18	6.04	2.28	1.00	0.00	1.01	0.11	5.16	0.61	1.57	1.31	8.18	1.56
																				
Note. Type refers to word type. Abbreviations: pos lo ar = positive low-arousal; pos hi ar = positive high arousal; neg lo ar = negative low arousal; neg hi ar = negative high 																				
arousal; unrel neu = category-unrelated neutral; rel neu = category-related neutral; K&F = Kucera & Francis (1967) written frequency rating; ANEW = valence and arousal 																				
ratings from Bradley & Lang's (1999) Affective Norms for English Words.																				
