Appendix B																				
Word Ratings and Associated Statistics (All Participants)																				

Word	Type	Letters	Syllables	K&F 	        ANEW		    Personal Use		      Familiarity		   Offensiveness		     Tabooness		        Valence		        Arousal		    Imageability	
				Freq.	Valence	Arousal	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD
cozy	pos lo ar	4	2	1	7.39	3.32	4.86	2.28	5.13	2.20	1.01	0.11	1.01	0.11	6.52	1.19	2.55	2.19	4.09	2.53
dignified	pos lo ar	9	3	7	7.10	4.12	3.55	2.20	4.18	2.20	1.03	0.23	1.05	0.23	6.41	1.41	1.96	1.62	2.36	2.03
friendly	pos lo ar	8	2	61	8.43	5.11	6.23	2.06	6.48	1.99	1.01	0.11	1.01	0.11	7.31	1.26	2.73	2.01	3.12	2.21
grateful	pos lo ar	8	2	25	7.37	4.58	5.31	2.09	5.51	2.09	1.03	0.16	1.01	0.11	6.86	1.26	2.63	2.05	2.64	2.20
greet	pos lo ar	5	1	7	7.00	5.27	4.29	2.06	5.06	2.15	1.03	0.16	1.14	0.82	5.88	1.07	1.81	1.51	3.59	2.52
grin	pos lo ar	4	1	13	7.40	5.27	3.97	2.28	4.69	2.25	1.03	0.16	1.10	0.70	6.06	1.47	2.31	1.98	6.96	2.07
heal	pos lo ar	4	1	2	7.09	4.77	4.45	2.16	5.36	2.19	1.03	0.16	1.03	0.16	6.61	1.44	2.39	1.98	3.19	2.38
honest	pos lo ar	6	2	47	7.70	5.32	6.11	2.09	6.25	2.11	1.00	0.00	1.03	0.23	7.33	1.34	3.07	2.52	2.20	2.11
hug	pos lo ar	3	1	3	8.00	5.35	6.32	2.17	6.70	2.07	1.00	0.00	1.06	0.30	7.39	1.47	3.95	2.51	6.70	2.47
kindness	pos lo ar	8	2	5	7.82	4.30	5.32	2.25	5.81	2.15	1.01	0.11	1.13	0.92	7.32	1.38	2.99	2.25	2.70	2.01
kitten	pos lo ar	6	2	5	6.86	5.08	4.51	2.34	5.03	2.28	1.03	0.16	1.04	0.34	5.99	1.18	2.69	2.28	8.32	1.07
loyal	pos lo ar	5	2	18	7.55	5.16	4.78	2.16	5.47	2.21	1.01	0.11	1.01	0.11	7.14	1.49	2.88	2.45	2.21	1.84
luscious	pos lo ar	8	2	2	7.50	5.34	2.94	1.91	3.78	2.35	1.18	0.77	1.55	1.11	6.25	1.29	3.36	2.50	3.42	2.35
luxury	pos lo ar	6	3	21	7.88	4.75	4.77	2.31	5.73	2.29	1.04	0.25	1.08	0.48	6.75	1.33	3.16	2.47	4.88	2.82
melody	pos lo ar	6	3	21	7.07	4.98	4.17	2.50	4.68	2.53	1.01	0.12	1.03	0.16	5.91	1.24	2.22	1.86	3.24	2.49
movie	pos lo ar	5	2	29	6.86	4.93	6.99	1.88	7.47	1.83	1.01	0.12	1.01	0.12	5.87	1.10	3.23	2.47	6.71	2.46
paradise	pos lo ar	8	3	12	8.72	5.12	4.23	2.09	5.16	2.15	1.00	0.00	1.03	0.16	7.81	1.25	4.53	2.79	6.87	2.04
peace	pos lo ar	5	1	198	7.72	2.95	5.69	2.20	6.25	2.26	1.00	0.00	1.03	0.16	7.27	1.22	3.49	2.58	3.60	2.91
pet	pos lo ar	3	1	8	6.79	5.10	5.21	2.43	5.96	2.17	1.07	0.57	1.03	0.23	5.78	1.28	2.33	2.06	7.21	2.17
pillow	pos lo ar	6	2	8	7.92	2.97	6.08	2.20	5.83	2.44	1.00	0.00	1.00	0.00	5.58	0.98	2.03	1.93	8.46	1.05
queen	pos lo ar	5	1	41	6.44	4.76	4.03	2.36	4.76	2.39	1.12	0.52	1.26	0.85	5.99	1.35	2.45	1.96	7.41	1.85
rainbow	pos lo ar	7	2	4	8.14	4.64	3.69	2.17	4.55	2.38	1.09	0.37	1.23	0.86	6.40	1.36	2.90	2.13	8.29	1.17
safe	pos lo ar	4	1	58	7.07	3.86	5.14	2.32	5.70	2.38	1.01	0.11	1.01	0.11	6.39	1.25	2.10	1.95	3.00	2.42
sailboat	pos lo ar	8	2	1	7.25	4.88	3.38	2.18	4.08	2.22	1.01	0.12	1.01	0.12	5.17	0.77	1.63	1.25	8.22	1.48
scholar	pos lo ar	7	2	15	7.26	5.12	4.08	2.14	5.14	2.14	1.04	0.25	1.01	0.11	6.41	1.23	2.33	2.04	4.60	2.75
secure	pos lo ar	6	2	30	7.57	3.14	4.64	2.23	5.45	2.18	1.04	0.20	1.03	0.16	6.51	1.38	2.30	1.97	2.54	1.97
silk	pos lo ar	4	1	12	6.90	3.71	3.58	2.04	4.44	2.30	1.01	0.11	1.03	0.16	5.51	0.85	2.29	1.91	6.47	2.45
snuggle	pos lo ar	7	2	4	7.92	4.16	5.18	2.30	5.22	2.25	1.03	0.16	1.12	0.54	6.68	1.12	3.62	2.58	5.45	2.64
soothe	pos lo ar	6	1	2	7.30	4.40	4.08	2.23	4.78	2.35	1.01	0.12	1.04	0.20	6.54	1.14	2.76	2.27	2.67	2.12
sunrise	pos lo ar	7	2	10	7.86	5.06	4.79	2.09	5.33	2.27	1.00	0.00	1.00	0.00	6.49	1.38	3.36	2.49	8.29	1.30
sunset	pos lo ar	6	2	14	7.68	4.20	5.25	2.25	5.81	2.15	1.01	0.11	1.00	0.00	6.47	1.42	3.36	2.43	8.23	1.31
tune	pos lo ar	4	1	10	6.93	4.71	4.18	2.55	4.66	2.56	1.03	0.16	1.05	0.28	5.26	0.80	1.70	1.44	2.33	1.87
vision	pos lo ar	6	2	56	6.62	4.66	5.13	2.23	5.57	2.19	1.03	0.16	1.03	0.16	5.36	0.93	1.73	1.34	3.49	2.75
wise	pos lo ar	4	1	36	7.52	3.91	4.81	2.27	5.23	2.16	1.01	0.11	1.03	0.16	7.13	1.33	2.32	2.02	2.29	1.70
